title,word_count,character_count,bigrams,lemma,pos,tag,dep,label,context_score,trigger_words,category
German Peasants' War,3,20,"[('German', 'Peasants'), ('Peasants', ""'""), (""'"", 'War')]","['german', 'Peasants', 'war']","['ADJ', 'PROPN', 'NOUN']","['JJ', 'NNPS', 'NN']","['amod', 'poss', 'ROOT']","['NORP', '', '']","{'german': 0.04119141203560222, 'peasants': 0.023976195229962423, 'war': 1.0}","['german', 'peasants', 'war']",politics
2008 IIHF World Championship,4,28,"[('2008', 'IIHF'), ('IIHF', 'World'), ('World', 'Championship')]","['2008', 'IIHF', 'World', 'Championship']","['NUM', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', '', '', '']","{'iihf': 0.14811676586979033, 'world': 1.0, 'championship': 0.48134991783837283}","['iihf', 'world', 'championship']",environment
Death and state funeral of Néstor Kirchner,7,42,"[('Death', 'and'), ('and', 'state'), ('state', 'funeral'), ('funeral', 'of'), ('of', 'Néstor'), ('Néstor', 'Kirchner')]","['death', 'and', 'state', 'funeral', 'of', 'Néstor', 'Kirchner']","['NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN']","['NN', 'CC', 'NN', 'NN', 'IN', 'NNP', 'NNP']","['nmod', 'cc', 'conj', 'ROOT', 'prep', 'compound', 'pobj']","['', '', '', '', '', 'PERSON', 'PERSON']","{'death': 1.0, 'state': 0.7070055322061667, 'funeral': 0.2740506084296336, 'néstor_kirchner': 0.038905989673524655}","['death', 'state', 'funeral', 'néstor_kirchner']",international
Franco-Dutch War,2,16,"[('Franco-Dutch', 'War')]","['Franco', 'Dutch', 'War']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['PERSON', 'PERSON', 'PERSON']","{'franco_dutch': 0.026680498505282816, 'war': 1.0}","['franco_dutch', 'war']",politics
Air battle over Merklín,4,23,"[('Air', 'battle'), ('battle', 'over'), ('over', 'Merklín')]","['air', 'battle', 'over', 'Merklín']","['NOUN', 'NOUN', 'ADP', 'PROPN']","['NN', 'NN', 'IN', 'NNP']","['compound', 'ROOT', 'prep', 'pobj']","['', '', '', 'ORG']","{'air': 0.21374733060537326, 'battle': 1.0, 'merklín': 0.006466447493922538}","['air', 'battle', 'merklín']",politics
2015 FIFA corruption case,4,25,"[('2015', 'FIFA'), ('FIFA', 'corruption'), ('corruption', 'case')]","['2015', 'FIFA', 'corruption', 'case']","['NUM', 'PROPN', 'NOUN', 'NOUN']","['CD', 'NNP', 'NN', 'NN']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', '', '', '']","{'fifa': 1.0, 'corruption': 0.1994002054701989, 'case': 0.530150588930993}","['fifa', 'corruption', 'case']",sports
21 July 2005 London bombings,5,28,"[('21', 'July'), ('July', '2005'), ('2005', 'London'), ('London', 'bombings')]","['21', 'July', '2005', 'London', 'bombing']","['NUM', 'PROPN', 'NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'CD', 'NNP', 'NNS']","['nummod', 'nmod', 'nummod', 'compound', 'ROOT']","['DATE', 'DATE', 'DATE', 'GPE', '']","{'july': 0.5885296617651746, 'london': 0.30705687066677684, 'bombings': 1.0}","['july', 'london', 'bombings']",crime
Cyclone Winifred,2,16,"[('Cyclone', 'Winifred')]","['cyclone', 'Winifred']","['NOUN', 'PROPN']","['NN', 'NNP']","['compound', 'ROOT']","['', '']","{'cyclone': 1.0, 'winifred': 0.038380210486443765}","['cyclone', 'winifred']",environment
2013 New South Wales bushfires,5,30,"[('2013', 'New'), ('New', 'South'), ('South', 'Wales'), ('Wales', 'bushfires')]","['2013', 'New', 'South', 'Wales', 'bushfire']","['NUM', 'PROPN', 'PROPN', 'PROPN', 'NOUN']","['CD', 'NNP', 'NNP', 'NNP', 'NNS']","['nummod', 'compound', 'compound', 'compound', 'ROOT']","['DATE', '', 'GPE', 'GPE', '']","{'new': 1.0, 'south_wales': 0.5967910732097848, 'bushfires': 0.36529427345489524}","['new', 'south_wales', 'bushfires']",technology
2006 state of emergency in the Philippines,7,42,"[('2006', 'state'), ('state', 'of'), ('of', 'emergency'), ('emergency', 'in'), ('in', 'the'), ('the', 'Philippines')]","['2006', 'state', 'of', 'emergency', 'in', 'the', 'Philippines']","['NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN']","['CD', 'NN', 'IN', 'NN', 'IN', 'DT', 'NNPS']","['nummod', 'ROOT', 'prep', 'pobj', 'prep', 'det', 'pobj']","['DATE', '', '', '', '', '', 'GPE']","{'state': 1.0, 'emergency': 0.059196902093659916, 'philippines': 0.059196902093659916}","['state', 'emergency', 'philippines']",international
Defense of Sihang Warehouse,4,27,"[('Defense', 'of'), ('of', 'Sihang'), ('Sihang', 'Warehouse')]","['defense', 'of', 'Sihang', 'Warehouse']","['NOUN', 'ADP', 'PROPN', 'PROPN']","['NN', 'IN', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'pobj']","['', '', 'PERSON', 'PERSON']","{'defense': 1.0, 'sihang': 0.25367105322390876, 'warehouse': 0.25367105322390876}","['defense', 'sihang', 'warehouse']",international
2010 IAAF World Cross Country Championships,6,43,"[('2010', 'IAAF'), ('IAAF', 'World'), ('World', 'Cross'), ('Cross', 'Country'), ('Country', 'Championships')]","['2010', 'IAAF', 'World', 'Cross', 'Country', 'Championships']","['NUM', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP', 'NNP', 'NNPS']","['nummod', 'compound', 'compound', 'compound', 'compound', 'ROOT']","['DATE', '', 'EVENT', 'EVENT', 'EVENT', 'EVENT']",{'iaaf_world_cross_country_championships': 1.0},['iaaf_world_cross_country_championships'],international
First Javanese War of Succession,5,32,"[('First', 'Javanese'), ('Javanese', 'War'), ('War', 'of'), ('of', 'Succession')]","['First', 'Javanese', 'War', 'of', 'succession']","['PROPN', 'PROPN', 'PROPN', 'ADP', 'NOUN']","['NNP', 'NNP', 'NNP', 'IN', 'NN']","['compound', 'compound', 'ROOT', 'prep', 'pobj']","['EVENT', 'EVENT', 'EVENT', 'EVENT', 'EVENT']","{'javanese': 0.007433124039218296, 'war': 1.0, 'succession': 0.0213596703524282}","['javanese', 'war', 'succession']",politics
Murder of Hatuel family,4,23,"[('Murder', 'of'), ('of', 'Hatuel'), ('Hatuel', 'family')]","['murder', 'of', 'Hatuel', 'family']","['NOUN', 'ADP', 'PROPN', 'NOUN']","['NN', 'IN', 'NNP', 'NN']","['ROOT', 'prep', 'compound', 'pobj']","['', '', 'ORG', '']","{'murder': 1.0, 'hatuel': 0.09650544901912085, 'family': 0.3492286184021218}","['murder', 'hatuel', 'family']",crime
2011 southern Israel cross-border attacks,5,41,"[('2011', 'southern'), ('southern', 'Israel'), ('Israel', 'cross-border'), ('cross-border', 'attacks')]","['2011', 'southern', 'Israel', 'cross', 'border', 'attack']","['NUM', 'ADJ', 'PROPN', 'ADJ', 'ADJ', 'NOUN']","['CD', 'JJ', 'NNP', 'JJ', 'JJ', 'NNS']","['nummod', 'amod', 'nmod', 'amod', 'amod', 'ROOT']","['DATE', '', 'GPE', '', '', '']","{'southern': 0.20277106193804387, 'israel': 0.3235914935807401, 'cross': 0.25434907234514875, 'border': 0.3015982741864269, 'attacks': 1.0}","['southern', 'israel', 'cross', 'border', 'attacks']",crime
Great Railroad Strike of 1877,5,29,"[('Great', 'Railroad'), ('Railroad', 'Strike'), ('Strike', 'of'), ('of', '1877')]","['Great', 'Railroad', 'Strike', 'of', '1877']","['PROPN', 'PROPN', 'PROPN', 'ADP', 'NUM']","['NNP', 'NNP', 'NNP', 'IN', 'CD']","['compound', 'compound', 'ROOT', 'prep', 'pobj']","['', '', '', '', 'DATE']","{'great': 1.0, 'railroad': 0.14863133758500072, 'strike': 0.4269387200681753}","['great', 'railroad', 'strike']",lifestyle
Raid on Deerfield,3,17,"[('Raid', 'on'), ('on', 'Deerfield')]","['Raid', 'on', 'Deerfield']","['PROPN', 'ADP', 'PROPN']","['NNP', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', 'GPE']","{'raid': 1.0, 'deerfield': 0.056843473604163954}","['raid', 'deerfield']",crime
Siege of Madrid,3,15,"[('Siege', 'of'), ('of', 'Madrid')]","['siege', 'of', 'Madrid']","['NOUN', 'ADP', 'PROPN']","['NN', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', 'GPE']","{'siege': 1.0, 'madrid': 0.055472552513139296}","['siege', 'madrid']",crime
Armageddon tour,2,15,"[('Armageddon', 'tour')]","['Armageddon', 'tour']","['PROPN', 'VERB']","['NNP', 'VB']","['nsubj', 'ROOT']","['ORG', '']",{'armageddon_tour': 1.0},['armageddon_tour'],travel
Minnesota State Fair,3,20,"[('Minnesota', 'State'), ('State', 'Fair')]","['Minnesota', 'State', 'Fair']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['ORG', 'ORG', 'ORG']","{'minnesota': 0.1344860861325176, 'state': 0.980289976354036, 'fair': 1.0}","['minnesota', 'state', 'fair']",international
"2009 Albina, Suriname riots",4,27,"[('2009', 'Albina'), ('Albina', ','), (',', 'Suriname'), ('Suriname', 'riots')]","['2009', 'Albina', 'Suriname', 'riot']","['NUM', 'PROPN', 'PROPN', 'NOUN']","['CD', 'NNP', 'NNP', 'NNS']","['nummod', 'ROOT', 'compound', 'appos']","['DATE', 'GPE', 'GPE', '']","{'albina': 0.04974223130777087, 'suriname': 0.04974223130777087, 'riots': 1.0}","['albina', 'suriname', 'riots']",crime
Geneva Motor Show,3,17,"[('Geneva', 'Motor'), ('Motor', 'Show')]","['Geneva', 'Motor', 'Show']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['EVENT', 'EVENT', 'EVENT']","{'geneva': 1.0, 'motor': 1.0}","['geneva', 'motor']",international
Colours in the Dark World Tour,6,30,"[('Colours', 'in'), ('in', 'the'), ('the', 'Dark'), ('Dark', 'World'), ('World', 'Tour')]","['colour', 'in', 'the', 'Dark', 'World', 'Tour']","['NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN']","['NNS', 'IN', 'DT', 'NNP', 'NNP', 'NNP']","['ROOT', 'prep', 'det', 'compound', 'compound', 'pobj']","['', '', 'EVENT', 'EVENT', 'EVENT', 'EVENT']","{'colours': 0.008786206526176085, 'dark': 0.03454422519197371, 'world': 0.7396629360834748, 'tour': 1.0}","['colours', 'dark', 'world', 'tour']",environment
Shooting of Ramarley Graham,4,27,"[('Shooting', 'of'), ('of', 'Ramarley'), ('Ramarley', 'Graham')]","['shoot', 'of', 'Ramarley', 'Graham']","['VERB', 'ADP', 'PROPN', 'PROPN']","['VBG', 'IN', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'pobj']","['', '', '', '']","{'shooting': 1.0, 'ramarley_graham': 0.05523326788094627}","['shooting', 'ramarley_graham']",crime
Shooting of Tamir Rice,4,22,"[('Shooting', 'of'), ('of', 'Tamir'), ('Tamir', 'Rice')]","['shoot', 'of', 'Tamir', 'Rice']","['VERB', 'ADP', 'PROPN', 'PROPN']","['VBG', 'IN', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'pobj']","['', '', 'PERSON', 'PERSON']","{'shooting': 1.0, 'tamir': 0.05523326788094627, 'rice': 0.05523326788094627}","['shooting', 'tamir', 'rice']",crime
Fountain Valley massacre,3,24,"[('Fountain', 'Valley'), ('Valley', 'massacre')]","['Fountain', 'Valley', 'massacre']","['PROPN', 'PROPN', 'NOUN']","['NNP', 'NNP', 'NN']","['compound', 'compound', 'ROOT']","['LOC', 'LOC', '']","{'fountain_valley': 0.07521499703031073, 'massacre': 1.0}","['fountain_valley', 'massacre']",crime
Air Algérie Flight 6289,4,23,"[('Air', 'Algérie'), ('Algérie', 'Flight'), ('Flight', '6289')]","['Air', 'Algérie', 'Flight', '6289']","['PROPN', 'PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'NNP', 'CD']","['compound', 'compound', 'ROOT', 'nummod']","['ORG', 'ORG', 'ORG', 'ORG']","{'air': 0.447319510559561, 'algérie': 0.02412240265323037, 'flight': 1.0}","['air', 'algérie', 'flight']",travel
1960 Concepción earthquakes,3,27,"[('1960', 'Concepción'), ('Concepción', 'earthquakes')]","['1960', 'Concepción', 'earthquake']","['NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'NNS']","['nummod', 'compound', 'ROOT']","['DATE', 'GPE', '']","{'concepción': 0.2860731076097207, 'earthquakes': 1.0}","['concepción', 'earthquakes']",environment
Irish Rebellion of 1641,4,23,"[('Irish', 'Rebellion'), ('Rebellion', 'of'), ('of', '1641')]","['Irish', 'Rebellion', 'of', '1641']","['PROPN', 'PROPN', 'ADP', 'NUM']","['NNP', 'NNP', 'IN', 'CD']","['amod', 'ROOT', 'prep', 'pobj']","['NORP', '', '', 'DATE']","{'irish': 0.33034023812423485, 'rebellion': 1.0}","['irish', 'rebellion']",crime
Westgate shopping mall attack,4,29,"[('Westgate', 'shopping'), ('shopping', 'mall'), ('mall', 'attack')]","['Westgate', 'shopping', 'mall', 'attack']","['PROPN', 'NOUN', 'NOUN', 'NOUN']","['NNP', 'NN', 'NN', 'NN']","['compound', 'compound', 'compound', 'ROOT']","['ORG', '', '', '']","{'westgate': 0.02895923160002513, 'shopping': 0.02895923160002513, 'mall': 0.05786804280526772, 'attack': 1.0}","['westgate', 'shopping', 'mall', 'attack']",crime
2012 Burgas bus bombing,4,23,"[('2012', 'Burgas'), ('Burgas', 'bus'), ('bus', 'bombing')]","['2012', 'Burgas', 'bus', 'bombing']","['NUM', 'PROPN', 'NOUN', 'NOUN']","['CD', 'NNP', 'NN', 'NN']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', 'GPE', '', '']","{'burgas': 0.023304901107610673, 'bus': 0.2050417592000375, 'bombing': 1.0}","['burgas', 'bus', 'bombing']",crime
Dunmanway killings,2,18,"[('Dunmanway', 'killings')]","['Dunmanway', 'killing']","['PROPN', 'NOUN']","['NNP', 'NNS']","['compound', 'ROOT']","['ORG', '']","{'dunmanway': 0.13326913470271703, 'killings': 1.0}","['dunmanway', 'killings']",crime
Action of 18 September 1810,5,27,"[('Action', 'of'), ('of', '18'), ('18', 'September'), ('September', '1810')]","['action', 'of', '18', 'September', '1810']","['NOUN', 'ADP', 'NUM', 'PROPN', 'NUM']","['NN', 'IN', 'CD', 'NNP', 'CD']","['ROOT', 'prep', 'nummod', 'pobj', 'nummod']","['', '', '', '', '']","{'action': 1.0, 'september': 0.16283049694706056}","['action', 'september']",international
Harrying of Buchan,3,18,"[('Harrying', 'of'), ('of', 'Buchan')]","['harry', 'of', 'Buchan']","['VERB', 'ADP', 'PROPN']","['VBG', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', 'GPE']","{'harrying': 1.0, 'buchan': 1.0}","['harrying', 'buchan']",travel
2004 Iranian seizure of Royal Navy personnel,7,44,"[('2004', 'Iranian'), ('Iranian', 'seizure'), ('seizure', 'of'), ('of', 'Royal'), ('Royal', 'Navy'), ('Navy', 'personnel')]","['2004', 'iranian', 'seizure', 'of', 'Royal', 'Navy', 'personnel']","['NUM', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'NOUN']","['CD', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'NNS']","['nummod', 'amod', 'ROOT', 'prep', 'compound', 'compound', 'pobj']","['DATE', 'NORP', '', '', 'ORG', 'ORG', '']","{'iranian': 0.572237428014215, 'seizure': 0.09127354560173856, 'royal': 1.0, 'navy': 0.201066546229834, 'personnel': 0.09127354560173856}","['iranian', 'seizure', 'royal', 'navy', 'personnel']",politics
Murder of April Jones,4,21,"[('Murder', 'of'), ('of', 'April'), ('April', 'Jones')]","['murder', 'of', 'April', 'Jones']","['NOUN', 'ADP', 'PROPN', 'PROPN']","['NN', 'IN', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'pobj']","['', '', '', '']","{'murder': 1.0, 'april_jones': 0.44744017344988946}","['murder', 'april_jones']",crime
Death and state funeral of Raúl Alfonsín,7,40,"[('Death', 'and'), ('and', 'state'), ('state', 'funeral'), ('funeral', 'of'), ('of', 'Raúl'), ('Raúl', 'Alfonsín')]","['death', 'and', 'state', 'funeral', 'of', 'Raúl', 'Alfonsín']","['NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN']","['NN', 'CC', 'NN', 'NN', 'IN', 'NNP', 'NNP']","['nmod', 'cc', 'conj', 'ROOT', 'prep', 'compound', 'pobj']","['', '', '', '', '', 'PERSON', 'PERSON']","{'death': 1.0, 'state': 0.7070055322061667, 'funeral': 0.2740506084296336, 'raúl': 0.038905989673524655, 'alfonsín': 0.038905989673524655}","['death', 'state', 'funeral', 'raúl', 'alfonsín']",international
Survivor Series (1999),3,22,"[('Survivor', 'Series'), ('Series', '('), ('(', '1999'), ('1999', ')')]","['Survivor', 'Series', '1999']","['PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD']","['compound', 'ROOT', 'npadvmod']","['', '', 'DATE']","{'survivor': 0.2487934374537505, 'series': 1.0}","['survivor', 'series']",entertainment
Annecy shootings,2,16,"[('Annecy', 'shootings')]","['Annecy', 'shooting']","['PROPN', 'NOUN']","['NNP', 'NNS']","['compound', 'ROOT']","['GPE', '']","{'annecy': 0.1817836371915554, 'shootings': 1.0}","['annecy', 'shootings']",crime
First Peloponnesian War,3,23,"[('First', 'Peloponnesian'), ('Peloponnesian', 'War')]","['first', 'peloponnesian', 'War']","['ADJ', 'ADJ', 'PROPN']","['JJ', 'JJ', 'NNP']","['amod', 'amod', 'ROOT']","['EVENT', 'EVENT', 'EVENT']","{'peloponnesian': 0.01992461825519436, 'war': 1.0}","['peloponnesian', 'war']",politics
Russian Revolution,2,18,"[('Russian', 'Revolution')]","['Russian', 'Revolution']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['EVENT', 'EVENT']","{'russian': 0.18834751437441516, 'revolution': 1.0}","['russian', 'revolution']",politics
Irish Civil War,3,15,"[('Irish', 'Civil'), ('Civil', 'War')]","['Irish', 'Civil', 'War']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['EVENT', 'EVENT', 'EVENT']","{'irish': 0.04724261693631186, 'civil': 0.2171292633855433, 'war': 1.0}","['irish', 'civil', 'war']",politics
Operation Deny Flight,3,21,"[('Operation', 'Deny'), ('Deny', 'Flight')]","['operation', 'Deny', 'Flight']","['NOUN', 'PROPN', 'PROPN']","['NN', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['', '', '']","{'operation': 1.0, 'deny': 0.010651329418303884, 'flight': 0.6428078895096672}","['operation', 'deny', 'flight']",international
Abkhaz–Georgian conflict,2,24,"[('Abkhaz–Georgian', 'conflict')]","['Abkhaz', '–', 'georgian', 'conflict']","['PROPN', 'PUNCT', 'ADJ', 'NOUN']","['NNP', ':', 'JJ', 'NN']","['ROOT', 'punct', 'amod', 'appos']","['NORP', '', 'NORP', '']","{'abkhaz': 0.05320136500610654, 'georgian': 0.10705962818778544, 'conflict': 1.0}","['abkhaz', 'georgian', 'conflict']",politics
Crimean War,2,11,"[('Crimean', 'War')]","['Crimean', 'War']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['EVENT', 'EVENT']",{'crimean_war': 1.0},['crimean_war'],politics
Cyclone Alan,2,12,"[('Cyclone', 'Alan')]","['Cyclone', 'Alan']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['', '']","{'cyclone': 1.0, 'alan': 0.020896990378020567}","['cyclone', 'alan']",environment
Death of Osama bin Laden,5,24,"[('Death', 'of'), ('of', 'Osama'), ('Osama', 'bin'), ('bin', 'Laden')]","['death', 'of', 'Osama', 'bin', 'Laden']","['NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN']","['NN', 'IN', 'NNP', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'compound', 'pobj']","['', '', 'PERSON', 'PERSON', 'PERSON']","{'death': 1.0, 'osama_bin_laden': 0.041924463714904055}","['death', 'osama_bin_laden']",crime
Action of 31 July 1793,5,22,"[('Action', 'of'), ('of', '31'), ('31', 'July'), ('July', '1793')]","['action', 'of', '31', 'July', '1793']","['NOUN', 'ADP', 'NUM', 'PROPN', 'NUM']","['NN', 'IN', 'CD', 'NNP', 'CD']","['ROOT', 'prep', 'nummod', 'pobj', 'nummod']","['', '', 'DATE', 'DATE', 'DATE']","{'action': 1.0, 'july': 0.36716662844141656}","['action', 'july']",international
King David Hotel bombing,4,24,"[('King', 'David'), ('David', 'Hotel'), ('Hotel', 'bombing')]","['King', 'David', 'Hotel', 'bombing']","['PROPN', 'PROPN', 'PROPN', 'NOUN']","['NNP', 'NNP', 'NNP', 'NN']","['compound', 'compound', 'compound', 'ROOT']","['ORG', 'ORG', 'ORG', '']","{'king': 0.147450061228619, 'david_hotel': 0.06429651490838402, 'bombing': 1.0}","['king', 'david_hotel', 'bombing']",crime
Typhoon Ma-on (2011),3,20,"[('Typhoon', 'Ma-on'), ('Ma-on', '('), ('(', '2011'), ('2011', ')')]","['Typhoon', 'Ma', 'on', '2011']","['PROPN', 'PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'NNP', 'CD']","['compound', 'ROOT', 'prep', 'nummod']","['PERSON', 'PERSON', 'PERSON', 'DATE']","{'typhoon': 1.0, 'ma': 0.1740343928391597}","['typhoon', 'ma']",crime
Reading and Leeds Festivals,4,27,"[('Reading', 'and'), ('and', 'Leeds'), ('Leeds', 'Festivals')]","['reading', 'and', 'Leeds', 'festival']","['NOUN', 'CCONJ', 'PROPN', 'NOUN']","['NN', 'CC', 'NNP', 'NNS']","['nmod', 'cc', 'conj', 'ROOT']","['', '', '', '']","{'reading': 1.0, 'leeds': 0.4826888169740397, 'festivals': 0.4826888169740397}","['reading', 'leeds', 'festivals']",science
Toulouse and Montauban shootings,4,32,"[('Toulouse', 'and'), ('and', 'Montauban'), ('Montauban', 'shootings')]","['Toulouse', 'and', 'Montauban', 'shooting']","['PROPN', 'CCONJ', 'PROPN', 'NOUN']","['NNP', 'CC', 'NNP', 'NNS']","['nmod', 'cc', 'conj', 'ROOT']","['GPE', '', 'GPE', '']","{'toulouse_montauban': 0.2270871285630183, 'shootings': 1.0}","['toulouse_montauban', 'shootings']",crime
Spanish Armada,2,14,"[('Spanish', 'Armada')]","['spanish', 'Armada']","['ADJ', 'PROPN']","['JJ', 'NNP']","['amod', 'ROOT']","['WORK_OF_ART', 'WORK_OF_ART']","{'spanish': 1.0, 'armada': 0.1407631785214801}","['spanish', 'armada']",entertainment
Defense of Van (1915),4,21,"[('Defense', 'of'), ('of', 'Van'), ('Van', '('), ('(', '1915'), ('1915', ')')]","['Defense', 'of', 'Van', '1915']","['PROPN', 'ADP', 'PROPN', 'NUM']","['NNP', 'IN', 'NNP', 'CD']","['ROOT', 'prep', 'pobj', 'npadvmod']","['ORG', 'ORG', 'ORG', 'DATE']","{'defense': 1.0, 'van': 0.25367105322390876}","['defense', 'van']",international
